"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
04/17/2021 05:17:12,Trade,,292.00000000,ONE,292.00000000,44.57,Imported Wallet - Crypto.com Wallet - ONE,,,USDC -> ONE,44.38370600,USDC,0.00000000,47.00,Imported Wallet - Crypto.com Wallet - USDC,,,USDC -> ONE,,,-2.43,
04/17/2021 08:21:55,Buy,,0.00014392,BTC,0.00743647,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - TOTAL CHECKING *****6925,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - TOTAL CHECKING *****6925,0.99,USD,,
04/17/2021 15:53:35,Buy,,45.09772392,MATIC,124.22323920,20.00,Coinbase - MATIC Wallet,,,Bought Polygon Using Chase - TOTAL CHECKING *****6925,20.00,USD,,,Coinbase - Cash (USD),,,Bought Polygon Using Chase - TOTAL CHECKING *****6925,1.49,USD,,
04/18/2021 03:40:46,Buy,,0.05115500,ETH,2.05982072,110.00,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,110.00,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,2.99,USD,,
04/19/2021 05:16:08,Buy,,0.00398134,ETH,2.06380206,10.00,Coinbase - ETH Wallet,,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,10.00,USD,,,Coinbase - Cash (USD),,,Bought Ethereum Using Chase - TOTAL CHECKING *****6925,0.99,USD,,
04/20/2021 02:26:12,Send,,,,,,,,,,0.05966828,ETH,2.00413378,128.28,Coinbase - ETH Wallet,0x7A178467296f9723f8F245d87F07851163b622cF,,Sent Ethereum To Ethereum address,0.00665700,ETH,-4.56,
04/20/2021 02:27:46,Receive,e8e0f3e84a8ab77553c1519ee3a322b8e9a36127d2954769c2816ce1474ae250,0.05301128,ETH,0.05301128,123.06,ETH Wallet ...b622cF - ETH,0x7A178467296f9723f8F245d87F07851163b622cF,,,,,,,,,,,,,,
04/20/2021 03:10:48,Send,,,,,,,,,,0.02963111,ETH,1.97450267,68.79,Coinbase - ETH Wallet,0x7A178467296f9723f8F245d87F07851163b622cF,,Sent Ethereum To Ethereum address,0.00569100,ETH,-7.08,
04/20/2021 03:11:18,Receive,0a99da487fcee027c6a4c62a7ff3795aa9149dd4ccd4c59124901cffb4f9b712,0.02394011,ETH,0.07695139,55.57,ETH Wallet ...b622cF - ETH,0x7A178467296f9723f8F245d87F07851163b622cF,,,,,,,,,,,,,,
04/20/2021 03:14:35,Trade,0xfd1c0e0b3c024bc5377f4a1ced03f17b6f6792d7e7abc75049e4a508c016ac70,5.00000000,PMON,5.00000000,93.80,ETH Wallet ...b622cF - ETH,0x7A178467296f9723f8F245d87F07851163b622cF,,,,,,,,,,,,,,
